Plot,ID,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week
1,Eucera_sp,F2 CHFU,1,0,0,7
2,Eucera_sp,D1 CHFU,1,1,0,7
2,Eucera_sp,E2 CHFU,1,1,0,7
2,Ulidiidae,E3 CHFU,1,0,0,7
8,Ulidiidae,A1 CHFU,1,15,0,7
8,Ulidiidae,A2 CHFU,1,15,0,7
8,Ulidiidae,A3 CHFU,1,15,0,7
8,Ulidiidae,A5 CHFU,1,15,0,7
8,Ulidiidae,A6 CHFU,2,15,0,7
8,Ulidiidae,B1 CHFU,2,15,0,7
8,Ulidiidae,B2 CHFU,1,15,0,7
8,Ulidiidae,C1 CHFU,1,15,0,7
8,Ulidiidae,C2 CHFU,1,15,0,7
8,Ulidiidae,C3 CHFU,2,15,0,7
8,Ulidiidae,C5 CHFU,2,15,0,7
8,Ulidiidae,C6 CHFU,1,15,0,7
8,Ulidiidae,D3 CHFU,1,15,0,7
8,Ulidiidae,D4 CHFU,1,15,0,7
8,Ulidiidae,E3 CHFU,1,15,0,7
8,Ulidiidae,F5 CHFU,1,15,0,7
9,Eucera_sp,A1 CHFU,1,0,0,7
9,Andrena_sp,D2 CHFU,1,4,0,7
9,Andrena_sp,D3 CHFU,3,4,0,7
9,Ulidiidae,D3 CHFU,2,3,0,7
9,Andrena_sp,E2 CHFU,3,4,0,7
9,Andrena_sp,E3 CHFU,3,4,0,7
9,Ulidiidae,E4 CHFU,1,3,0,7
9,Andrena_sp,F5 CHFU,2,4,0,7
9,Ulidiidae,F5 CHFU,4,3,0,7
9,Ulidiidae,F6 CHFU,1,3,0,7
8,Ulidiidae,A2 CHFU,1,6,0,8
8,Ulidiidae,A3 CHFU,1,6,0,8
8,Ulidiidae,A4 CHFU,3,6,0,8
8,Eupeodes_corollae,A5 CHFU,1,0,0,8
8,Ulidiidae,B4 CHFU,1,6,0,8
8,Ulidiidae,C1 CHFU,1,6,0,8
8,Musca_sp,C4 CHFU,1,3,0,8
8,Musca_sp,C5 CHFU,1,3,0,8
8,Musca_sp,D2 CHFU,1,3,0,8
8,Ulidiidae,E1 CHFU,1,6,0,8
8,Ulidiidae,F2 CHFU,1,6,0,8
8,Musca_sp,F4 CHFU,1,3,0,8
9,Psilothrix_viridicoerulea,A1 CHFU,1,5,0,8
9,Psilothrix_viridicoerulea,B1 CHFU,2,5,0,8
9,Psilothrix_viridicoerulea,B3 CHFU,1,5,0,8
9,Psilothrix_viridicoerulea,C2 CHFU,3,5,0,8
9,Psilothrix_viridicoerulea,C3 CHFU,1,5,0,8
9,Brassicogethes_sp,D2 CHFU,1,0,0,8
9,Psilothrix_viridicoerulea,D2 CHFU,1,5,0,8
9,Ulidiidae,D5 CHFU,1,0,0,8
9,Andrena_argentata,E1 CHFU,1,2,0,8
9,Andrena_argentata,E6 CHFU,1,2,0,8
9,Musca_sp,F1 CHFU,1,2,0,8
9,Musca_sp,F4 CHFU,4,2,0,8
9,Andrena_argentata,F5 CHFU,2,2,0,8
9,Musca_sp,F5 CHFU,1,2,0,8
9,Eristalis_sp,F6 CHFU,1,0,0,8
7,Ulidiidae,A4 CHFU,1,3,0,9
7,Ulidiidae,E1 CHFU,1,3,0,9
7,Ulidiidae,E4 CHFU,1,3,0,9
7,Ulidiidae,F2 CHFU,1,3,0,9
8,Ulidiidae,A1 CHFU,1,13,0,9
8,Andrena_sp,A2 CHFU,1,0,0,9
8,Ulidiidae,A2 CHFU,1,13,0,9
8,Ulidiidae,A3 CHFU,2,13,0,9
8,Ulidiidae,A4 CHFU,1,13,0,9
8,Ulidiidae,A6 CHFU,1,13,0,9
8,Ulidiidae,B6 CHFU,1,13,0,9
8,Ulidiidae,C1 CHFU,2,13,0,9
8,Ulidiidae,C2 CHFU,3,13,0,9
8,Psilothrix_viridicoerulea,C6 CHFU,1,0,0,9
8,Ulidiidae,C6 CHFU,2,13,0,9
8,Ulidiidae,E1 CHFU,1,13,0,9
8,Ulidiidae,F1 CHFU,2,13,0,9
8,Ulidiidae,F2 CHFU,1,13,0,9
8,Ulidiidae,F3 CHFU,4,13,0,9
8,Ulidiidae,F4 CHFU,1,13,0,9
9,Psilothrix_viridicoerulea,A1 CHFU,3,10,0,9
9,Psilothrix_viridicoerulea,B1 CHFU,2,10,0,9
9,Psilothrix_viridicoerulea,C1 CHFU,3,10,0,9
9,Psilothrix_viridicoerulea,C2 CHFU,1,10,0,9
9,Psilothrix_viridicoerulea,C3 CHFU,1,10,0,9
9,Andrena_sp,D1 CHFU,1,5,0,9
9,Syrphidae,D2 CHFU,1,1,0,9
9,Psilothrix_viridicoerulea,E1 CHFU,4,10,0,9
9,Psilothrix_viridicoerulea,E2 CHFU,1,10,0,9
9,Andrena_sp,E5 CHFU,10,5,0,9
9,Psilothrix_viridicoerulea,E6 CHFU,1,10,0,9
9,Ulidiidae,F1 CHFU,1,0,0,9
9,Andrena_sp,F2 CHFU,1,5,0,9
9,Andrena_sp,F3 CHFU,1,5,0,9
9,Psilothrix_viridicoerulea,F4 CHFU,1,10,0,9
9,Syrphidae,F4 CHFU,1,1,0,9
9,Andrena_sp,F5 CHFU,2,5,0,9
9,Psilothrix_viridicoerulea,F5 CHFU,1,10,0,9
9,Andrena_sp,F6 CHFU,1,5,0,9
9,Cylindromyia_sp,F6 CHFU,1,0,0,9
9,Psilothrix_viridicoerulea,F6 CHFU,1,10,0,9
1,Ulidiidae,B1 CHFU,2,6,0,11
1,Ulidiidae,B4 CHFU,1,6,0,11
1,Ulidiidae,C1 CHFU,2,6,0,11
1,Ulidiidae,D1 CHFU,2,6,0,11
1,Ulidiidae,E3 CHFU,3,6,0,11
1,Ulidiidae,F3 CHFU,1,6,0,11
1,Ulidiidae,F5 CHFU,1,6,0,11
2,Ulidiidae,A2 CHFU,4,5,0,11
2,Ulidiidae,A5 CHFU,1,5,0,11
2,Ulidiidae,B2 CHFU,2,5,0,11
2,Ulidiidae,B3 CHFU,1,5,0,11
2,Ulidiidae,C1 CHFU,2,5,0,11
2,Ulidiidae,C2 CHFU,1,5,0,11
3,Ulidiidae,B3 CHFU,1,5,0,11
3,Brassicogethes_sp,B6 CHFU,1,0,0,11
3,Ulidiidae,C1 CHFU,1,5,0,11
3,Curculionidae,C3 CHFU,1,0,0,11
3,Ulidiidae,C3 CHFU,1,5,0,11
3,Psilothrix_viridicoerulea,C6 CHFU,1,0,0,11
3,Ulidiidae,D2 CHFU,1,5,0,11
3,Ulidiidae,D4 CHFU,1,5,0,11
3,Dilophus_sp,E4 CHFU,1,1,0,11
3,Ulidiidae,E4 CHFU,2,5,0,11
3,Dilophus_sp,F2 CHFU,1,1,0,11
3,Musca_sp,F2 CHFU,1,1,0,11
3,Musca_sp,F4 CHFU,1,1,0,11
7,Brassicogethes_sp,A3 LEMA,1,4,0,11
7,Psilothrix_viridicoerulea,A4 LEMA,3,2,0,11
7,Oedemeridae,A5 LEMA,1,1,0,11
7,Andrena_humilis,B1 LEMA,3,14,0,11
7,Andrena_humilis,B2 LEMA,2,14,0,11
7,Brassicogethes_sp,B2 LEMA,1,4,0,11
7,Andrena_humilis,B3 LEMA,10,14,0,11
7,Psilothrix_viridicoerulea,B3 LEMA,1,2,0,11
7,Andrena_humilis,B4 LEMA,3,14,0,11
7,Andrena_humilis,B5 LEMA,10,14,0,11
7,Andrena_humilis,B6 LEMA,8,14,0,11
7,Andrena_humilis,C1 LEMA,3,14,0,11
7,Andrena_humilis,C2 LEMA,2,14,0,11
7,Andrena_humilis,C4 LEMA,3,14,0,11
7,Brassicogethes_sp,C6 LEMA,1,4,0,11
7,Oedemeridae,C6 LEMA,1,1,0,11
7,Andrena_humilis,D1 LEMA,8,14,0,11
7,Andrena_humilis,D5 LEMA,3,14,0,11
7,Brassicogethes_sp,D5 LEMA,1,4,0,11
7,Cryptocephalus_sp,D5 LEMA,1,0,0,11
7,Andrena_humilis,E6 LEMA,1,14,0,11
7,Brassicogethes_sp,E6 LEMA,2,4,0,11
7,Andrena_humilis,F2 LEMA,2,14,0,11
7,Andrena_humilis,F3 LEMA,2,14,0,11
7,Andrena_humilis,F4 LEMA,2,14,0,11
7,Psilothrix_viridicoerulea,F4 LEMA,1,2,0,11
8,Andrena_humilis,A5 SCLA,1,1,3,11
8,Psilothrix_viridicoerulea,A6 SCLA,1,1,2,11
8,Brassicogethes_sp,C1 SCLA,1,0,4,11
8,Sarcophaga_sp,C3 CHFU,1,0,0,11
8,Psilothrix_viridicoerulea,C4 CHFU,1,1,2,11
8,Dilophus_sp,C6 CHFU,1,0,0,11
8,Psilothrix_viridicoerulea,C6 CHFU,2,1,2,11
8,Andrena_humilis,C6 SCLA,1,1,3,11
8,Psilothrix_viridicoerulea,C6 SCLA,1,1,2,11
8,Musca_sp,D1 CHFU,1,0,1,11
8,Brassicogethes_sp,D1 LEMA,1,3,1,11
8,Musca_sp,D1 LEMA,1,0,1,11
8,Brassicogethes_sp,D2 LEMA,1,3,1,11
8,Andrena_humilis,D5 LEMA,2,2,2,11
8,Brassicogethes_sp,D5 LEMA,1,3,1,11
8,Brassicogethes_sp,D6 LEMA,3,3,1,11
8,Andrena_humilis,E5 LEMA,2,2,2,11
8,Andrena_humilis,F6 LEMA,1,2,2,11
9,Psilothrix_viridicoerulea,A2 CHFU,1,14,1,11
9,Psilothrix_viridicoerulea,A6 CHFU,3,14,1,11
9,Psilothrix_viridicoerulea,B1 CHFU,3,14,1,11
9,Psilothrix_viridicoerulea,B2 CHFU,1,14,1,11
9,Andrena_humilis,C1 CHFU,1,2,0,11
9,Psilothrix_viridicoerulea,C1 CHFU,3,14,1,11
9,Psilothrix_viridicoerulea,C3 CHFU,1,14,1,11
9,Psilothrix_viridicoerulea,C4 CHFU,1,14,1,11
9,Psilothrix_viridicoerulea,C5 CHFU,1,14,1,11
9,Psilothrix_viridicoerulea,C6 SOAS,1,0,15,11
9,Andrena_humilis,D4 CHFU,2,2,0,11
9,Psilothrix_viridicoerulea,D4 CHFU,2,14,1,11
9,Psilothrix_viridicoerulea,D6 CHFU,3,14,1,11
9,Psilothrix_viridicoerulea,E3 CHFU,3,14,1,11
9,Psilothrix_viridicoerulea,E5 CHFU,1,14,1,11
9,Psilothrix_viridicoerulea,E6 CHFU,3,14,1,11
9,Psilothrix_viridicoerulea,F5 CHFU,1,14,1,11
9,Andrena_humilis,F6 CHFU,1,2,0,11
9,Psilothrix_viridicoerulea,F6 CHFU,2,14,1,11
1,Ulidiidae,F5 CHFU,1,0,0,10
2,Ulidiidae,A3 CHFU,1,4,0,10
2,Ulidiidae,C1 CHFU,1,4,0,10
2,Ulidiidae,C2 CHFU,1,4,0,10
2,Ulidiidae,D4 CHFU,1,4,0,10
2,Ulidiidae,F2 CHFU,1,4,0,10
3,Ulidiidae,A1 CHFU,1,3,0,10
3,Ulidiidae,A4 CHFU,1,3,0,10
3,Ulidiidae,F4 CHFU,1,3,0,10
3,Ulidiidae,F6 CHFU,1,3,0,10
7,Brassicogethes_sp,B2 LEMA,0,0,0,10
7,Andrena_humilis,D1 LEMA,3,0,0,10
7,Ulidiidae,F2 CHFU,1,0,0,10
8,Ulidiidae,A5 CHFU,1,6,0,10
8,Syrphidae,A6 CHFU,1,0,0,10
8,Ulidiidae,B5 CHFU,1,6,0,10
8,Ulidiidae,C2 CHFU,1,6,0,10
8,Ulidiidae,C6 CHFU,1,6,0,10
8,Ulidiidae,D1 CHFU,2,6,0,10
8,Ulidiidae,D5 CHFU,1,6,0,10
8,Ulidiidae,F3 CHFU,1,6,0,10
9,Psilothrix_viridicoerulea,A1 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,A2 CHFU,2,12,0,10
9,Psilothrix_viridicoerulea,A5 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,A6 CHFU,3,12,0,10
9,Psilothrix_viridicoerulea,B1 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,B2 CHFU,1,12,0,10
9,Ulidiidae,B2 CHFU,1,0,0,10
9,Psilothrix_viridicoerulea,B4 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,B6 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,C1 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,C5 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,D1 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,D4 CHFU,1,12,0,10
9,Psilothrix_viridicoerulea,E4 CHFU,3,12,0,10
1,Brassicogethes_sp,A1 LEMA,3,30,0,17
1,Phaedon_sp,A1 LEMA,1,0,0,17
1,Brassicogethes_sp,A2 LEMA,9,30,0,17
1,Psilothrix_viridicoerulea,A2 LEMA,1,26,0,17
1,Brassicogethes_sp,A3 LEMA,9,30,0,17
1,Malachius_bipustulatus,A3 LEMA,1,1,0,17
1,Brassicogethes_sp,A4 LEMA,5,30,0,17
1,Psilothrix_viridicoerulea,A4 LEMA,5,26,0,17
1,Brassicogethes_sp,A5 LEMA,11,30,0,17
1,Elateridae,A5 LEMA,2,3,0,17
1,Psilothrix_viridicoerulea,A5 LEMA,1,26,0,17
1,Brassicogethes_sp,A6 LEMA,7,30,0,17
1,Oedemeridae,A6 LEMA,1,0,0,17
1,Psilothrix_viridicoerulea,A6 LEMA,1,26,0,17
1,Brassicogethes_sp,B1 LEMA,6,30,0,17
1,Mordellidae,B1 LEMA,1,0,0,17
1,Brassicogethes_sp,B2 LEMA,8,30,0,17
1,Brassicogethes_sp,B3 LEMA,5,30,0,17
1,Psilothrix_viridicoerulea,B3 LEMA,2,26,0,17
1,Brassicogethes_sp,B4 LEMA,7,30,0,17
1,Empis_sp,B4 LEMA,1,0,1,17
1,Psilothrix_viridicoerulea,B4 LEMA,2,26,0,17
1,Brassicogethes_sp,B5 LEMA,7,30,0,17
1,Psilothrix_viridicoerulea,B5 LEMA,1,26,0,17
1,Brassicogethes_sp,B6 LEMA,5,30,0,17
1,Psilothrix_viridicoerulea,B6 LEMA,1,26,0,17
1,Empis_sp,C1 CHFU,1,0,1,17
1,Brassicogethes_sp,C1 LEMA,6,30,0,17
1,Elateridae,C1 LEMA,1,3,0,17
1,Psilothrix_viridicoerulea,C1 LEMA,1,26,0,17
1,Brassicogethes_sp,C2 LEMA,4,30,0,17
1,Malachius_bipustulatus,C2 LEMA,1,1,0,17
1,Brassicogethes_sp,C3 LEMA,3,30,0,17
1,Psilothrix_viridicoerulea,C4 LEMA,1,26,0,17
1,Musca_sp,C5 LEMA,1,1,0,17
1,Psilothrix_viridicoerulea,C6 LEMA,1,26,0,17
1,Brassicogethes_sp,D1 LEMA,4,30,0,17
1,Psilothrix_viridicoerulea,D1 LEMA,2,26,0,17
1,Brassicogethes_sp,D2 LEMA,5,30,0,17
1,Psilothrix_viridicoerulea,D2 LEMA,2,26,0,17
1,Brassicogethes_sp,D3 LEMA,1,30,0,17
1,Psilothrix_viridicoerulea,D3 LEMA,2,26,0,17
1,Brassicogethes_sp,D4 LEMA,4,30,0,17
1,Psilothrix_viridicoerulea,D4 LEMA,4,26,0,17
1,Brassicogethes_sp,D5 LEMA,1,30,0,17
1,Elateridae,D5 LEMA,1,3,0,17
1,Psilothrix_viridicoerulea,D5 LEMA,3,26,0,17
1,Brassicogethes_sp,D6 LEMA,14,30,0,17
1,Psilothrix_viridicoerulea,D6 LEMA,3,26,0,17
1,Brassicogethes_sp,E1 LEMA,2,30,0,17
1,Brassicogethes_sp,E2 LEMA,2,30,0,17
1,Psilothrix_viridicoerulea,E2 LEMA,2,26,0,17
1,Braconidae,E3 LEMA,1,0,0,17
1,Brassicogethes_sp,E3 LEMA,3,30,0,17
1,Psilothrix_viridicoerulea,E3 LEMA,1,26,0,17
1,Brassicogethes_sp,E4 LEMA,3,30,0,17
1,Psilothrix_viridicoerulea,E5 LEMA,2,26,0,17
1,Brassicogethes_sp,E6 LEMA,4,30,0,17
1,Psilothrix_viridicoerulea,E6 LEMA,1,26,0,17
1,Brassicogethes_sp,F1 LEMA,5,30,0,17
1,Psilothrix_viridicoerulea,F1 LEMA,1,26,0,17
1,Brassicogethes_sp,F2 LEMA,4,30,0,17
1,Psilothrix_viridicoerulea,F2 LEMA,1,26,0,17
1,Brassicogethes_sp,F3 LEMA,3,30,0,17
1,Psilothrix_viridicoerulea,F3 LEMA,1,26,0,17
1,Brassicogethes_sp,F4 LEMA,8,30,0,17
1,Musca_sp,F4 LEMA,6,1,0,17
1,Psilothrix_viridicoerulea,F4 LEMA,1,26,0,17
1,Psilothrix_viridicoerulea,F5 LEMA,4,26,0,17
1,Brassicogethes_sp,F6 LEMA,2,30,0,17
1,Elateridae,F6 LEMA,1,3,0,17
1,Psilothrix_viridicoerulea,F6 LEMA,1,26,0,17
2,Brassicogethes_sp,A1 LEMA,4,33,0,17
2,Brassicogethes_sp,A2 LEMA,3,33,0,17
2,Brassicogethes_sp,A3 LEMA,3,33,0,17
2,Psilothrix_viridicoerulea,A3 LEMA,1,19,0,17
2,Braconidae,A4 BEMA,1,0,1,17
2,Brassicogethes_sp,A4 LEMA,3,33,0,17
2,Braconidae,A5 LEMA,1,0,1,17
2,Brassicogethes_sp,A5 LEMA,2,33,0,17
2,Brassicogethes_sp,A6 LEMA,2,33,0,17
2,Elateridae,A6 LEMA,1,1,0,17
2,Brassicogethes_sp,B1 LEMA,6,33,0,17
2,Brassicogethes_sp,B2 LEMA,4,33,0,17
2,Psilothrix_viridicoerulea,B2 LEMA,1,19,0,17
2,Brassicogethes_sp,B3 LEMA,6,33,0,17
2,Elateridae,B3 LEMA,1,1,0,17
2,Psilothrix_viridicoerulea,B3 LEMA,2,19,0,17
2,Sarcophaga_sp,B3 LEMA,2,2,0,17
2,Brassicogethes_sp,B4 LEMA,11,33,0,17
2,Mordellidae,B4 LEMA,1,1,0,17
2,Psilothrix_viridicoerulea,B4 LEMA,4,19,0,17
2,Brassicogethes_sp,B5 LEMA,8,33,0,17
2,Musca_sp,B5 LEMA,2,6,0,17
2,Oedemeridae,B5 LEMA,1,1,0,17
2,Psilothrix_viridicoerulea,B5 LEMA,4,19,0,17
2,Brassicogethes_sp,B6 LEMA,5,33,0,17
2,Musca_sp,B6 LEMA,1,6,0,17
2,Psilothrix_viridicoerulea,B6 LEMA,1,19,0,17
2,Sarcophaga_sp,B6 LEMA,4,2,0,17
2,Brassicogethes_sp,C2 LEMA,2,33,0,17
2,Psilothrix_viridicoerulea,C2 LEMA,1,19,0,17
2,Brassicogethes_sp,C3 LEMA,1,33,0,17
2,Musca_sp,C3 LEMA,3,6,0,17
2,Psilothrix_viridicoerulea,C3 LEMA,2,19,0,17
2,Brassicogethes_sp,C4 LEMA,3,33,0,17
2,Musca_sp,C4 LEMA,3,6,0,17
2,Psilothrix_viridicoerulea,C4 LEMA,1,19,0,17
2,Brassicogethes_sp,C5 LEMA,5,33,0,17
2,Psilothrix_viridicoerulea,C5 LEMA,1,19,0,17
2,Brassicogethes_sp,C6 LEMA,2,33,0,17
2,Psilothrix_viridicoerulea,C6 LEMA,2,19,0,17
2,Brassicogethes_sp,D1 LEMA,4,33,0,17
2,Psilothrix_viridicoerulea,D1 LEMA,1,19,0,17
2,Brassicogethes_sp,D2 LEMA,4,33,0,17
